Male,Female
ENSG00000183888.4,ENSG00000149527.17
ENSG00000117154.11,ENSG00000230337.1
ENSG00000179023.8,ENSG00000117115.12
ENSG00000162482.4,ENSG00000169991.10
ENSG00000160097.16,ENSG00000178828.6
ENSG00000085831.15,ENSG00000162551.13
ENSG00000211452.10,ENSG00000158014.14
ENSG00000116678.19,ENSG00000175793.11
ENSG00000050628.20,ENSG00000142748.12
ENSG00000178965.13,ENSG00000174950.10
ENSG00000137975.7,ENSG00000229167.1
ENSG00000181656.6,ENSG00000117472.9
ENSG00000213366.12,ENSG00000186160.4
ENSG00000143125.5,ENSG00000162366.7
ENSG00000174827.13,ENSG00000184292.6
ENSG00000007908.15,ENSG00000118473.21
ENSG00000034971.16,ENSG00000189334.8
ENSG00000116183.10,ENSG00000117091.9
ENSG00000249007.1,ENSG00000026751.16
ENSG00000174567.7,ENSG00000122224.17
ENSG00000189292.15,ENSG00000090104.11
ENSG00000228613.1,ENSG00000159166.13
ENSG00000115902.10,ENSG00000163485.16
ENSG00000235584.2,ENSG00000133048.12
ENSG00000222014.5,ENSG00000162896.5
ENSG00000115844.10,ENSG00000123843.12
ENSG00000144339.11,ENSG00000117595.10
ENSG00000115361.7,ENSG00000143502.14
ENSG00000178568.14,ENSG00000183780.12
ENSG00000204128.5,ENSG00000224525.2
ENSG00000157388.15,ENSG00000163032.11
ENSG00000056736.9,ENSG00000115884.10
ENSG00000163618.17,ENSG00000138028.15
ENSG00000185565.11,ENSG00000158125.9
ENSG00000159650.8,ENSG00000231826.5
ENSG00000114656.10,ENSG00000138083.4
ENSG00000170893.3,ENSG00000119888.10
ENSG00000181449.3,ENSG00000116035.2
ENSG00000068078.17,ENSG00000116039.11
ENSG00000156140.9,ENSG00000115363.13
ENSG00000152784.15,ENSG00000153563.15
ENSG00000138795.9,ENSG00000115593.14
ENSG00000109424.3,ENSG00000158050.4
ENSG00000185149.5,ENSG00000163121.9
ENSG00000109738.10,ENSG00000115221.10
ENSG00000120251.18,ENSG00000272622.1
ENSG00000145451.12,ENSG00000182600.9
ENSG00000185028.3,ENSG00000180914.10
ENSG00000169862.18,ENSG00000012223.12
ENSG00000113361.12,ENSG00000114270.17
ENSG00000113494.16,ENSG00000198643.6
ENSG00000164188.8,ENSG00000114547.9
ENSG00000271849.1,ENSG00000206384.10
ENSG00000145832.12,ENSG00000073282.12
ENSG00000146013.10,ENSG00000090530.9
ENSG00000164591.13,ENSG00000187527.10
ENSG00000113739.10,ENSG00000127249.14
ENSG00000253768.1,ENSG00000007062.11
ENSG00000120149.8,ENSG00000157765.11
ENSG00000160867.14,ENSG00000181617.5
ENSG00000249684.5,ENSG00000171199.10
ENSG00000197977.3,ENSG00000132465.10
ENSG00000204511.2,ENSG00000163631.16
ENSG00000237649.7,ENSG00000169435.13
ENSG00000124664.10,ENSG00000081041.8
ENSG00000204140.9,ENSG00000156234.7
ENSG00000124713.5,ENSG00000138798.11
ENSG00000164393.8,ENSG00000168685.14
ENSG00000233237.6,ENSG00000151882.11
ENSG00000118513.18,ENSG00000152669.8
ENSG00000120262.9,ENSG00000081059.19
ENSG00000091831.22,ENSG00000170476.15
ENSG00000106541.11,ENSG00000276365.1
ENSG00000173467.8,ENSG00000086570.12
ENSG00000122585.7,ENSG00000168269.8
ENSG00000225792.1,ENSG00000094755.16
ENSG00000214870.8,ENSG00000161055.3
ENSG00000106483.11,ENSG00000204618.8
ENSG00000146757.13,ENSG00000124780.13
ENSG00000005471.15,ENSG00000124813.20
ENSG00000091138.12,ENSG00000271857.1
ENSG00000159763.3,ENSG00000164434.11
ENSG00000253397.1,ENSG00000198729.4
ENSG00000253414.2,ENSG00000164488.11
ENSG00000104371.4,ENSG00000171243.7
ENSG00000181690.7,ENSG00000158516.11
ENSG00000170786.12,ENSG00000105894.11
ENSG00000178538.9,ENSG00000105929.15
ENSG00000104205.12,ENSG00000214128.10
ENSG00000137558.7,ENSG00000164825.3
ENSG00000147588.6,ENSG00000179388.8
ENSG00000271830.1,ENSG00000104332.11
ENSG00000178445.9,ENSG00000034239.10
ENSG00000236924.1,ENSG00000181195.10
ENSG00000272871.1,ENSG00000121005.8
ENSG00000178031.16,ENSG00000147697.8
ENSG00000168913.6,ENSG00000259820.1
